Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях,Шипилов Игорь Викторович,Наш круг,1 461,2 435,40
GPT-3. Руководство по использованию API Open AI,"Кублик Сандра, Сабу Шубхан",ДМК-Пресс,1 340,2 233,40
,,,0,Нету старой цены,Нету скидки
Проектирование информационно-библиотечных систем. Учебник,Рахматуллаев Марат Алимович,ИНФРА-М:Высшее образование,2 146,3 576,40
Docker Compose для разработчика,Гадзурас Эммануил,ДМК-Пресс,2 009,3 349,40
Безопасность ASP. NET Core,Венц Кристиан,ДМК-Пресс,2 931,4 885,40
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,Пылов Петр Андреевич и др.,Инфра-Инженерия,1 038,1 730,40
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер:Бестселлеры O`Reilly,1 701,2 181,22
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,"Розема Мишель, Влотман Хенк",ДМК-Пресс,2 931,4 885,40
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,ДМК-Пресс,4 187,6 979,40
Введение в автоматизированное машинное обучение (AutoML),Хуттер Франк и др.,ДМК-Пресс,2 512,4 187,40
Java. Руководство для начинающих,Шилдт Герберт,Вильямс,3 227,5 378,40
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера:Мир программирования,435,725,40
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера:Мир программирования,274,456,40
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера:Мир цифровой обработки,232,386,40
,,,0,Нету старой цены,Нету скидки
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник,Гетманов Виктор Григорьевич,Техносфера:Мир цифровой обработки,916,1 527,40
Цифровая обработка изображений,"Гонсалес Рафаэл С., Вудс Ричард Е.",Техносфера:Мир цифровой обработки,1 092,1 820,40
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера:Мир цифровой обработки,1 344,2 240,40
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера:Мир цифровой обработки,820,1 366,40
JavaScript с нуля до профи,Свекис Лоренс Ларс и др.,Питер:Библиотека программиста,2 268,2 908,22
Python для финансистов,Хилпиш Ив,Питер:Бестселлеры O`Reilly,2 057,2 637,22
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,2 427,Нету старой цены,Нету скидки
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 013,Нету старой цены,Нету скидки
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 621,Нету старой цены,Нету скидки
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1 871,Нету старой цены,Нету скидки
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1 629,Нету старой цены,Нету скидки
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1 352,Нету старой цены,Нету скидки
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1 175,Нету старой цены,Нету скидки
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1 592,Нету старой цены,Нету скидки
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1 386,Нету старой цены,Нету скидки
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,2 189,Нету старой цены,Нету скидки
Java для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,3 676,Нету старой цены,Нету скидки
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,3 050,3 910,22
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3 350,5 583,40
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2 268,2 908,22
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер:Бестселлеры O`Reilly,2 921,3 745,22
Software. Ошибки и компромиссы при разработке ПО,"Лелек Томаш, Скит Джон",Питер:Библиотека программиста,3 262,4 182,22
Python для хакеров. Нетривиальные задачи и проекты,Воган Ли,Питер:Библиотека программиста,1 972,2 528,22
Методы линейного программирования,Божко Аркадий Николаевич и др.,Издательство МГТУ им. Н.Э.Баумана,488,814,40
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,Антонопулос Андреас М. и др.,ДМК-Пресс,3 350,5 583,40
Паттерны проектирования API,Гивакс Джей Джей,Питер:Библиотека программиста,3 334,4 274,22
PostgreSQL 15 изнутри,Рогов Егор Валерьевич,ДМК-Пресс,2 931,4 885,40
Apache Kafka. Потоковая обработка и анализ данных,Шапира Гвен и др.,Питер:Бестселлеры O`Reilly,3 086,3 956,22
Python и анализ данных,МакКинни Уэс,ДМК-Пресс,3 016,5 026,40
Алгоритмы,Эриксон Джефф,ДМК-Пресс,3 350,5 583,40
Алгоритмы принятия решений,Кохендерфер Майкл и др.,ДМК-Пресс,4 187,6 979,40
Структура и интерпретация классической механики,"Сассман Джеральд Джей, Уиздом Джек",ДМК-Пресс,2 512,4 187,40
Идиомы bash,"Олбинг Карл, Фоссен Джей Пи",Питер:Бестселлеры O`Reilly,1 417,1 817,22
Алгоритмы биоинформатики,"Компо Филлип, Певзнер Павел",ДМК-Пресс,4 020,6 700,40
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация,Груздев Артем Владимирович,ДМК-Пресс,4 020,6 700,40
"Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества",Груздев Артем Владимирович,ДМК-Пресс,4 020,6 700,40
Прогнозирование. Принципы и практика,"Хайндман Роб, Атанасопулос Джордж",ДМК-Пресс,3 016,5 026,40
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь Максим Владимирович и др.,ИНФРА-М:Научная мысль,1 936,3 226,40
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода","Дэвидсон Дж. Гай, Грегори Кейт",Питер:Для профессионалов,2 823,3 619,22
Глубокое обучение с R и KERAS,Шолле Франсуа,ДМК-Пресс,3 350,5 583,40
Power BI. Передовые методы оптимизации,Мерчант Бхавик,ДМК-Пресс,2 345,3 908,40
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,ДМК-Пресс,2 512,4 187,40
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3 210,5 350,40
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,2 070,2 654,22
Объекты. Стильное ООП,Нобак Маттиас,Питер:Библиотека программиста,2 114,2 710,22
Kafka Streams и ksqlDB. Данные в реальном времени,Сеймур Митч,Питер:Библиотека программиста,2 397,3 073,22
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер:Библиотека программиста,2 057,2 637,22
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер:Для профессионалов,2 340,3 000,22
,,,0,Нету старой цены,Нету скидки
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер:Библиотека программиста,1 972,2 528,22
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер:Библиотека программиста,1 951,2 501,22
Грокаем функциональное мышление,Норманд Эрик,Питер:Библиотека программиста,2 552,3 272,22
Основы Python для Data Science,Берман Кеннеди,Питер:Библиотека программиста,2 114,2 710,22
Фундаментальные основы хакерства. Анализ программ в среде Win64,"Касперски Крис, Язев Юрий Евгеньевич",Солон-пресс:Программирование,3 184,5 307,40
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк Андрей Александрович и др.,Лань:Компьютеры и программное обеспечение,6 183,Нету старой цены,Нету скидки
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора:Библиотека цифровой трансформации,1 670,Нету старой цены,Нету скидки
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер:Библиотека программиста,1 731,2 219,22
Сделай видеоигру один и не свихнись,Грис Слава,АСТ:Видеоигры: глубокое погружение,669,916,27
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора:Российский компьютерный бестселлер,2 551,Нету старой цены,Нету скидки
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер:Для профессионалов,4 808,6 164,22
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер:Библиотека программиста,1 412,1 810,22
,,,0,Нету старой цены,Нету скидки
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,3 795,4 865,22
Head First. Изучаем Swift,"Мэннинг Джон, Баттфилд-Эддисон Пэрис",Питер:Head First (O'Reilly),2 807,3 599,22
Kubernetes изнутри,"Вьяс Джей, Лав Крис",ДМК-Пресс,2 512,4 187,40
С++ 20 в деталях,Райнер Гримм,ДМК-Пресс,3 016,5 026,40
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер:Библиотека программиста,3 475,4 455,22
Pandas в действии,Пасхавер Борис,Питер:Библиотека программиста,2 738,3 510,22
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 093,Нету старой цены,Нету скидки
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань:Компьютеры и программное обеспечение,1 237,Нету старой цены,Нету скидки
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 093,Нету старой цены,Нету скидки
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,3 064,Нету старой цены,Нету скидки
Java. Полное руководство,Шилдт Герберт,Вильямс,4 086,6 810,40
JavaScript для начинающих,МакГрат Майк,Бомбора:Мировой компьютерный бестселлер (обложка),1 264,Нету старой цены,Нету скидки
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,ДМК-Пресс,2 177,3 628,40
Kotlin. Программирование для профессионалов,Скин Джош и др.,Питер:Для профессионалов,2 859,3 665,22
Тестирование JavaScript,Коста Лукас да,Питер:Библиотека программиста,2 547,3 265,22
Программируем на Java,Лой Марк и др.,Питер:Бестселлеры O`Reilly,2 836,3 636,22
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1 960,3 266,40
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2 419,4 032,40
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,2 848,4 746,40
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,ДМК-Пресс,2 596,4 326,40
Учимся рисовать на компьютере кодом p5.js,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",ДМК-Пресс,1 676,2 793,40
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",Лань,5 771,Нету старой цены,Нету скидки
Система контроля версий. Основы командной разработки. Учебное пособие,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",Лань:Компьютеры и программное обеспечение,5 771,Нету старой цены,Нету скидки
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань:Компьютеры и программное обеспечение,4 534,Нету старой цены,Нету скидки
Эффективное тестирование программного обеспечения,Аниче Маурисио,ДМК-Пресс,3 016,5 026,40
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,2 823,3 619,22
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,Сонькин Михаил Аркадьевич и др.,Инфра-Инженерия,820,1 366,40
Основы визуального программирования в среде Visual Studio на базе C#,Мартыненко Татьяна Владимировна и др.,Инфра-Инженерия,1 027,1 712,40
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер:Библиотека программиста,1 701,2 181,22
Python. Исчерпывающее руководство,Бизли Дэвид,Питер:Для профессионалов,2 240,2 872,22
Практикум по анализу данных на языках Python и R. Учебное пособие,Баюк Олег Александрович и др.,Прометей,565,941,40
Знакомство с Python,Бейдер Дэн и др.,Питер:Библиотека программиста,2 142,2 746,22
Теория и практика программирования на языке Pascal,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",Вышэйшая школа,12 634,21 056,40
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",Коул Анирад и др.,Питер:Бестселлеры O`Reilly,3 787,4 855,22
Грокаем стриминг,"Фишер Джош, Ван Нин",Питер:Библиотека программиста,1 702,2 182,22
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик Миша, Йен Освальд",Бомбора:Мировой компьютерный бестселлер (обложка),2 053,Нету старой цены,Нету скидки
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,"Шитов Виктор Николаевич, Успенский Кирилл Евгеньевич",Кнорус:Среднее профессиональное образование,1 586,2 644,40
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,4 122,Нету старой цены,Нету скидки
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,4 122,Нету старой цены,Нету скидки
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,3 350,5 583,40
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,2 228,3 713,40
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер:Библиотека программиста,1 618,2 074,22
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2 823,3 619,22
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер:Библиотека программиста,1 845,2 365,22
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн Дэн и др.,Питер:Библиотека программиста,2 511,3 219,22
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер:Библиотека программиста,1 417,1 817,22
,,,0,Нету старой цены,Нету скидки
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,4 187,6 979,40
Социальная инженерия и этичный хакинг на практике,Грей Джо,ДМК-Пресс,1 676,2 793,40
Spring быстро,Спилкэ Лауренциу,Питер,2 836,3 636,22
Kali Linux. Библия пентестера,Хаваджа Гас,Питер:Для профессионалов,4 241,5 437,22
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,4 888,Нету старой цены,Нету скидки
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,5 659,7 255,22
Язык программирования С++,Страуструп Бьерн,Бином,4 575,Нету старой цены,Нету скидки
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,Шамин Алексей Алексеевич,Инфра-Инженерия,820,1 366,40
Моделирование систем управления. Учебник для вузов,"Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич",Лань:Компьютеры и программное обеспечение,4 943,Нету старой цены,Нету скидки
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,4 122,Нету старой цены,Нету скидки
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",Чоу Эрик,Питер:Для профессионалов,3 815,4 891,22
Kafka в действии,Скотт Дилан и др.,ДМК-Пресс,2 512,4 187,40
Python. К вершинам мастерства. Лаконичное и эффективное программирование,Лусиану Рамальо,ДМК-Пресс,4 187,6 979,40
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,Мишра Прадипта,ДМК-Пресс,2 177,3 628,40
,,,0,Нету старой цены,Нету скидки
Проектирование гибких программ,"Хансон Крис, Сассман Джеральд Джей",ДМК-Пресс,2 512,4 187,40
Идеальная работа. Программирование без прикрас,Мартин Роберт С.,Питер:Библиотека программиста,1 361,1 745,22
Криптографические основы блокчейн-технологий,Ищукова Евгения Александровна и др.,ДМК-Пресс,1 676,2 793,40
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 504,Нету старой цены,Нету скидки
Web-программирование на Python. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 504,Нету старой цены,Нету скидки
Go. Идиомы и паттерны проектирования,Боднер Джон,Питер:Бестселлеры O`Reilly,2 823,3 619,22
Python. Чистый код для продолжающих,Свейгарт Эл,Питер:Библиотека программиста,2 263,2 901,22
Как проектировать программы,Фелляйзен Маттиас и др.,ДМК-Пресс,3 350,5 583,40
Введение в программирование и структуры данных,Фислер Кати и др.,ДМК-Пресс,2 512,4 187,40
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,2 318,Нету старой цены,Нету скидки
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,3 452,5 753,40
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,4 052,Нету старой цены,Нету скидки
SQL. Быстрое погружение,Шилдс Уолтер,Питер:Библиотека программиста,1 270,1 628,22
Spring Boot по-быстрому,Хеклер Марк,Питер:Бестселлеры O`Reilly,2 397,3 073,22
Параллельное программирование на современном С++,Гримм Райнер,ДМК-Пресс,3 350,5 583,40
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,ДМК-Пресс,2 177,3 628,40
